,Benchmark,Instance #,Cluster #,mo-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,58.26096510887146
1,ICELL8_SE_B_kallisto_umap.csv,553,5,56.68167972564697
2,10X_LLU_A_cellranger2.0_umap.csv,2505,6,93.05235481262207
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,100.46924948692322
4,10X_LLU_A_umitools_umap.csv,2476,7,97.31305646896362
5,10X_LLU_A_zumi_umap.csv,2825,7,99.93887448310852
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,69.00934338569641
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,69.26273560523987
8,10X_LLU_B_umitools_umap.csv,1184,5,73.19327735900879
9,10X_LLU_B_zumi_umap.csv,1207,5,65.83029556274414
10,10X_NCI_A_cellranger2.0_umap.csv,5355,8,158.66829752922058
11,10X_NCI_A_cellranger3.1_umap.csv,6050,10,198.37583875656128
12,10X_NCI_A_umitools_umap.csv,5344,8,157.98948335647583
13,10X_NCI_A_zumi_umap.csv,5385,8,156.9923939704895
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,98.83734226226807
15,10X_NCI_B_cellranger3.1_umap.csv,3059,7,106.67660117149353
16,10X_NCI_B_umitools_umap.csv,2630,7,97.69756627082825
17,10X_NCI_B_zumi_umap.csv,2836,7,103.30633473396301
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,8,158.1747829914093
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,8,172.63022375106812
20,10X_NCI_M_A_umitools_umap.csv,5339,8,159.2161509990692
21,10X_NCI_M_A_zumi_umap.csv,5416,8,160.04300832748413
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,98.57386779785156
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,108.16524839401245
24,10X_NCI_M_B_umitools_umap.csv,2628,6,92.76208281517029
25,10X_NCI_M_B_zumi_umap.csv,2805,7,99.89591860771179
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,50.82163429260254
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,52.91468834877014
28,C1_FDA_HT_A_rsem_umap.csv,197,3,53.101818561553955
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,52.44393444061279
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,55.140315532684326
31,C1_FDA_HT_B_rsem_umap.csv,231,3,52.881261110305786
32,C1_LLU_A_featureCounts_umap.csv,70,3,53.11609983444214
33,C1_LLU_A_kallisto_umap.csv,72,3,49.128421783447266
34,C1_LLU_A_rsem_umap.csv,71,3,48.97630000114441
35,C1_LLU_B_featureCounts_umap.csv,59,3,49.92122483253479
36,C1_LLU_B_kallisto_umap.csv,60,3,54.12658095359802
37,C1_LLU_B_rsem_umap.csv,60,3,51.626983642578125
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,55.25908160209656
39,ICELL8_PE_A_kallisto_umap.csv,570,4,56.50882124900818
40,ICELL8_PE_A_rsem_umap.csv,563,5,56.71114754676819
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,57.78891205787659
42,ICELL8_PE_B_kallisto_umap.csv,551,4,57.27736806869507
43,ICELL8_PE_B_rsem_umap.csv,548,4,56.05797576904297
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,56.60373616218567
45,ICELL8_SE_A_rsem_umap.csv,569,4,56.53982901573181
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,56.5571494102478
47,ICELL8_SE_B_rsem_umap.csv,549,4,55.75622057914734
