,indRate,mutPro,cxPro,fitness
118,1.0,0.03,0.9, 2147.3276352982425
119,1.0,0.03,1.0, 2147.1097293251746
120,1.0,0.05,0.5, 2147.645004166901
121,1.0,0.05,0.6, 2312.8026158578095
122,1.0,0.05,0.7, 2149.5305516237054
123,1.0,0.05,0.8, 2142.3654349730996
124,1.0,0.05,0.9, 2130.720691642524
125,1.0,0.05,1.0, 2140.7999057021398
126,1.0,0.07,0.5, 2147.039649724957
127,1.0,0.07,0.6, 2140.6097607276333
128,1.0,0.07,0.7, 2142.2367347575732
129,1.0,0.07,0.8, 2131.5571003262353
130,1.0,0.07,0.9, 2129.883299851868
131,1.0,0.07,1.0, 2148.5465681303012
132,1.0,0.1,0.5, 2159.024799438927
133,1.0,0.1,0.6, 2141.463673017768
134,1.0,0.1,0.7, 2142.5887464983125
135,1.0,0.1,0.8, 2145.2266147090986
136,1.0,0.1,0.9, 2144.562573944168
137,1.0,0.1,1.0, 2142.827275468831
138,1.0,0.2,0.5, 2296.62543407641
139,1.0,0.2,0.6, 2314.342846403044
140,1.0,0.2,0.7, 2300.4775114328504
141,1.0,0.2,0.8, 2260.008667957967
142,1.0,0.2,0.9, 2259.656652868222
143,1.0,0.2,1.0, 2288.7534019952436
144,1.0,0.3,0.5, 2619.256534289565
145,1.0,0.3,0.6, 2751.960129655585
146,1.0,0.3,0.7, 2498.0103512537307
147,1.0,0.3,0.8, 3172.466464391083
148,1.0,0.3,0.9, 2635.2900324653283
149,1.0,0.3,1.0, 2629.6468734256505
150,1.0,0.4,0.5, 2985.0844030841195
151,1.0,0.4,0.6, 3066.997852481671
152,1.0,0.4,0.7, 2931.473668666062
153,1.0,0.4,0.8, 3223.443588623809
154,1.0,0.4,0.9, 2939.3104836599587
155,1.0,0.4,1.0, 2935.3497466761914
156,1.0,0.5,0.5, 3357.828979582453
157,1.0,0.5,0.6, 3226.646685997406
158,1.0,0.5,0.7, 3330.3958727034933
159,1.0,0.5,0.8, 3004.819754060295
160,1.0,0.5,0.9, 3300.9882817196067
161,1.0,0.5,1.0, 3479.719717486341
