,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.18,0.38,0.02
1,colorMoments,68040,2,8,0.29,0.35,0.22
2,colorTexture,68040,2,8,0.26,0.38,0.26
3,house16H,22784,2,7,0.38,0.42,0.19
4,layoutHistogram,66614,2,8,0.35,0.38,0.23
5,StockPrice,950,2,4,0.50,0.49,0.63
6,Pollution,60,2,3,0.37,0.41,0.38
