,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.26,0.38,0.01
1,colorMoments,68040,2,8,0.19,0.35,0.23
2,colorTexture,68040,2,9,0.28,0.37,0.25
3,house16H,22784,2,7,0.28,0.42,0.25
4,layoutHistogram,66614,2,9,0.34,0.39,0.20
5,StockPrice,950,2,4,0.54,0.56,0.62
6,Pollution,60,2,3,0.48,0.37,0.30
