,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.21,0.37,0.01
1,colorMoments,68040,2,8,0.26,0.35,0.23
2,colorTexture,68040,2,8,0.34,0.38,0.27
3,house16H,22784,2,7,0.32,0.41,0.25
4,layoutHistogram,66614,2,8,0.34,0.39,0.16
5,StockPrice,950,2,4,0.56,0.56,0.62
6,Pollution,60,2,3,0.28,0.42,0.40
