,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.24,0.36,-0.04
1,colorMoments,68040,2,8,0.16,0.35,0.21
2,colorTexture,68040,2,8,0.28,0.38,0.27
3,house16H,22784,2,6,0.33,0.41,0.24
4,layoutHistogram,66614,2,8,0.26,0.40,0.20
5,StockPrice,950,2,4,0.50,0.50,0.62
6,Pollution,60,2,3,0.44,0.42,0.40
