,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.22,0.36,0.02
1,colorMoments,68040,2,8,0.23,0.35,0.20
2,colorTexture,68040,2,8,0.31,0.38,0.26
3,house16H,22784,2,7,0.34,0.41,0.24
4,layoutHistogram,66614,2,8,0.29,0.39,0.22
5,StockPrice,950,2,4,0.55,0.56,0.65
6,Pollution,60,2,3,0.44,0.44,0.41
