,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.24,0.37,-0.00
1,colorMoments,68040,2,8,0.22,0.35,0.23
2,colorTexture,68040,2,9,0.18,0.37,0.27
3,house16H,22784,2,7,0.41,0.42,0.23
4,layoutHistogram,66614,2,9,0.37,0.39,0.19
5,StockPrice,950,2,4,0.48,0.51,0.63
6,Pollution,60,2,3,0.43,0.42,0.41
