,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.27,0.35,0.03
1,colorMoments,68040,2,8,0.20,0.36,0.24
2,colorTexture,68040,2,9,0.37,0.37,0.27
3,house16H,22784,2,7,0.34,0.40,0.25
4,layoutHistogram,66614,2,9,0.26,0.39,0.22
5,StockPrice,950,2,4,0.50,0.53,0.64
6,Pollution,60,2,3,0.35,0.41,0.34
