,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.18,0.35,-0.05
1,colorMoments,68040,2,8,0.32,0.36,0.22
2,colorTexture,68040,2,8,0.28,0.38,0.26
3,house16H,22784,2,7,0.42,0.42,0.23
4,layoutHistogram,66614,2,8,0.11,0.39,0.19
5,StockPrice,950,2,4,0.57,0.57,0.61
6,Pollution,60,2,3,0.42,0.42,0.35
