,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.14,0.36,0.15
1,colorMoments,68040,2,8,0.13,0.35,0.22
2,colorTexture,68040,2,9,0.26,0.37,0.28
3,house16H,22784,2,7,0.43,0.43,0.20
4,layoutHistogram,66614,2,9,0.25,0.40,0.18
5,StockPrice,950,2,4,0.53,0.53,0.62
6,Pollution,60,2,3,0.45,0.42,0.40
