,Benchmark,Instance #,Cluster #,mo-time
32,C1_LLU_A_featureCounts_umap.csv,70,3,88.28747916221619
32,C1_LLU_A_featureCounts_umap.csv,70,3,79.95940327644348
32,C1_LLU_A_featureCounts_umap.csv,70,3,95.92446994781494
32,C1_LLU_A_featureCounts_umap.csv,70,3,84.76168203353882
32,C1_LLU_A_featureCounts_umap.csv,70,3,94.73508715629578
32,C1_LLU_A_featureCounts_umap.csv,70,3,92.6034858226776
32,C1_LLU_A_featureCounts_umap.csv,70,3,97.95486855506896
32,C1_LLU_A_featureCounts_umap.csv,70,3,102.33686947822572
32,C1_LLU_A_featureCounts_umap.csv,70,3,78.65778517723083
32,C1_LLU_A_featureCounts_umap.csv,70,3,91.57924175262453
32,C1_LLU_A_featureCounts_umap.csv,70,3,79.77348184585571
32,C1_LLU_A_featureCounts_umap.csv,70,3,83.85708284378052
32,C1_LLU_A_featureCounts_umap.csv,70,3,90.83063197135924
32,C1_LLU_A_featureCounts_umap.csv,70,3,140.71267175674438
32,C1_LLU_A_featureCounts_umap.csv,70,3,93.44062638282776
32,C1_LLU_A_featureCounts_umap.csv,70,3,102.72884345054626
32,C1_LLU_A_featureCounts_umap.csv,70,3,80.44250512123108
32,C1_LLU_A_featureCounts_umap.csv,70,3,79.36433458328247
32,C1_LLU_A_featureCounts_umap.csv,70,3,80.9183259010315
32,C1_LLU_A_featureCounts_umap.csv,70,3,79.79843592643738
32,C1_LLU_A_featureCounts_umap.csv,70,3,104.823584318161
32,C1_LLU_A_featureCounts_umap.csv,70,3,91.61620593070984
32,C1_LLU_A_featureCounts_umap.csv,70,3,76.98376750946045
32,C1_LLU_A_featureCounts_umap.csv,70,3,81.38940000534058
32,C1_LLU_A_featureCounts_umap.csv,70,3,83.0976493358612
32,C1_LLU_A_featureCounts_umap.csv,70,3,79.2881691455841
32,C1_LLU_A_featureCounts_umap.csv,70,3,84.62266898155212
34,C1_LLU_A_rsem_umap.csv,71,3,84.88510346412659
34,C1_LLU_A_rsem_umap.csv,71,3,75.31668210029602
34,C1_LLU_A_rsem_umap.csv,71,3,90.74173069000244
34,C1_LLU_A_rsem_umap.csv,71,3,79.41802620887756
34,C1_LLU_A_rsem_umap.csv,71,3,82.20291304588318
34,C1_LLU_A_rsem_umap.csv,71,3,135.7470715045929
34,C1_LLU_A_rsem_umap.csv,71,3,93.04074144363403
34,C1_LLU_A_rsem_umap.csv,71,3,81.39705109596252
34,C1_LLU_A_rsem_umap.csv,71,3,81.43837094306946
34,C1_LLU_A_rsem_umap.csv,71,3,91.5795042514801
34,C1_LLU_A_rsem_umap.csv,71,3,80.02326893806458
34,C1_LLU_A_rsem_umap.csv,71,3,80.71812081336975
34,C1_LLU_A_rsem_umap.csv,71,3,92.3209261894226
34,C1_LLU_A_rsem_umap.csv,71,3,104.73150873184204
34,C1_LLU_A_rsem_umap.csv,71,3,83.30867648124695
34,C1_LLU_A_rsem_umap.csv,71,3,99.47982048988342
34,C1_LLU_A_rsem_umap.csv,71,3,93.2000653743744
34,C1_LLU_A_rsem_umap.csv,71,3,95.48335552215576
34,C1_LLU_A_rsem_umap.csv,71,3,84.22084903717041
34,C1_LLU_A_rsem_umap.csv,71,3,106.02419757843018
34,C1_LLU_A_rsem_umap.csv,71,3,83.55366516113281
34,C1_LLU_A_rsem_umap.csv,71,3,80.15009593963623
34,C1_LLU_A_rsem_umap.csv,71,3,92.28818583488464
34,C1_LLU_A_rsem_umap.csv,71,3,81.14946341514587
34,C1_LLU_A_rsem_umap.csv,71,3,83.41293621063232
34,C1_LLU_A_rsem_umap.csv,71,3,95.05086088180542
34,C1_LLU_A_rsem_umap.csv,71,3,79.80634117126465
34,C1_LLU_A_rsem_umap.csv,71,3,81.59496474266052
34,C1_LLU_A_rsem_umap.csv,71,3,80.43247604370117
34,C1_LLU_A_rsem_umap.csv,71,3,79.61669111251831
33,C1_LLU_A_kallisto_umap.csv,72,3,80.61266326904297
33,C1_LLU_A_kallisto_umap.csv,72,3,79.94690251350403
33,C1_LLU_A_kallisto_umap.csv,72,3,83.02980875968933
33,C1_LLU_A_kallisto_umap.csv,72,3,103.34438300132751
33,C1_LLU_A_kallisto_umap.csv,72,3,83.78811287879944
33,C1_LLU_A_kallisto_umap.csv,72,3,78.93068528175354
33,C1_LLU_A_kallisto_umap.csv,72,3,84.49492168426514
33,C1_LLU_A_kallisto_umap.csv,72,3,104.99666690826416
33,C1_LLU_A_kallisto_umap.csv,72,3,81.53623485565186
33,C1_LLU_A_kallisto_umap.csv,72,3,89.7215347290039
33,C1_LLU_A_kallisto_umap.csv,72,3,92.51462149620056
33,C1_LLU_A_kallisto_umap.csv,72,3,76.92849016189575
33,C1_LLU_A_kallisto_umap.csv,72,3,99.76528358459473
33,C1_LLU_A_kallisto_umap.csv,72,3,80.11074352264404
33,C1_LLU_A_kallisto_umap.csv,72,3,80.40461039543152
33,C1_LLU_A_kallisto_umap.csv,72,3,94.93130230903624
33,C1_LLU_A_kallisto_umap.csv,72,3,80.65057325363159
33,C1_LLU_A_kallisto_umap.csv,72,3,91.77593994140624
33,C1_LLU_A_kallisto_umap.csv,72,3,85.1987566947937
