,Unnamed: 0,Instance #,Cluster #,mo-time
0,0.0,571.0,4.033333333333333,234.81242171923319
1,1.0,553.0,4.966666666666667,256.2078298250834
2,2.0,2505.0,6.9,1126.591331354777
3,3.0,2825.0,7.066666666666666,1287.4545425017675
4,4.0,2476.0,7.166666666666667,1146.5105826775232
5,5.0,2825.0,7.1,1290.600628399849
6,6.0,1211.0,5.766666666666667,514.0903009573618
7,7.0,1327.0,5.7,547.5499776760737
8,8.0,1184.0,5.633333333333334,492.89562443097435
9,9.0,1207.0,5.666666666666667,501.4807603518168
10,10.0,5355.0,8.666666666666666,2712.3925515254336
11,11.0,6050.0,9.833333333333334,3389.0628431558607
12,12.0,5344.0,8.966666666666667,2827.425203148524
13,13.0,5385.0,8.8,2816.273266061147
14,14.0,2585.0,6.966666666666667,1156.014582379659
15,15.0,3059.0,7.8,1465.8914219697317
16,16.0,2630.0,7.266666666666667,1206.4328915834426
17,17.0,2836.0,7.066666666666666,1267.0968325694403
18,18.0,5354.0,8.533333333333333,2679.689711769422
19,19.0,6097.0,9.233333333333333,3249.0852443297704
20,20.0,5339.0,9.0,2797.01410399278
21,21.0,5416.0,8.7,2760.8133281469345
22,22.0,2589.0,7.033333333333333,1145.573423631986
23,23.0,3046.0,7.866666666666666,1446.7240410804748
24,24.0,2628.0,6.9,1146.979116121928
25,25.0,2805.0,7.466666666666667,1293.034701259931
26,26.0,197.0,3.0,114.46336576143901
27,27.0,195.0,3.066666666666667,117.32123126983643
28,28.0,197.0,3.0,116.49277912775675
29,29.0,231.0,3.6333333333333333,131.0755897363027
30,30.0,224.0,3.6333333333333333,129.56952279408773
31,31.0,231.0,3.6333333333333333,131.3012575785319
32,32.0,70.0,3.0,88.83179204463958
33,33.0,72.0,3.0,87.81819811662038
34,34.0,71.0,3.0,88.41112214724222
35,35.0,59.0,3.0,85.41323914527894
36,36.0,60.0,3.0,86.08345115184784
37,37.0,60.0,3.0,82.44700184663137
38,38.0,568.0,4.633333333333334,244.72201044559478
39,39.0,570.0,4.633333333333334,242.66196903387706
40,40.0,563.0,4.566666666666666,239.47189637025198
41,41.0,547.0,4.033333333333333,222.33777018388113
42,42.0,551.0,4.333333333333333,231.0034490029017
43,43.0,548.0,4.3,229.15495968659718
44,44.0,570.0,4.0,222.84585410753886
45,45.0,569.0,4.633333333333334,238.30583477020264
46,46.0,550.0,4.166666666666667,221.51837882200877
47,47.0,549.0,4.633333333333334,232.7026095310847
