,Benchmark,Instance #,Cluster #,so-time
40,ICELL8_PE_A_rsem_umap.csv,563,5,225.95351934432983
40,ICELL8_PE_A_rsem_umap.csv,563,4,167.53225302696228
40,ICELL8_PE_A_rsem_umap.csv,563,4,158.31893587112427
40,ICELL8_PE_A_rsem_umap.csv,563,5,267.37512588500977
40,ICELL8_PE_A_rsem_umap.csv,563,5,190.3604917526245
40,ICELL8_PE_A_rsem_umap.csv,563,4,157.83212232589722
40,ICELL8_PE_A_rsem_umap.csv,563,5,252.36785173416135
40,ICELL8_PE_A_rsem_umap.csv,563,4,166.403959274292
40,ICELL8_PE_A_rsem_umap.csv,563,4,236.50652170181277
40,ICELL8_PE_A_rsem_umap.csv,563,4,189.14085721969604
40,ICELL8_PE_A_rsem_umap.csv,563,5,284.1993143558502
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,275.3668096065521
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,233.2965502738953
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,229.12519097328183
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,244.9473657608032
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,263.5075182914734
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,239.2890555858612
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,285.7095642089844
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,159.39345574378967
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,267.51512694358826
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,160.9163682460785
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,159.76721048355105
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,182.80521655082703
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,248.1762716770172
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,194.38130497932437
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,169.04888653755188
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,257.04754185676575
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,265.8210527896881
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,239.09743475914
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,278.0187032222748
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,243.93155980110168
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,262.2882733345032
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,185.47612619400024
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,294.008896112442
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,204.3013019561768
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,265.35789823532104
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,283.647007226944
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,273.0409531593323
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,168.9055802822113
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,232.29900288581848
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,166.72039198875427
45,ICELL8_SE_A_rsem_umap.csv,569,5,245.702574968338
45,ICELL8_SE_A_rsem_umap.csv,569,5,267.18572211265564
45,ICELL8_SE_A_rsem_umap.csv,569,4,183.45173048973083
45,ICELL8_SE_A_rsem_umap.csv,569,5,195.413348197937
45,ICELL8_SE_A_rsem_umap.csv,569,4,165.8109803199768
45,ICELL8_SE_A_rsem_umap.csv,569,4,186.3404233455658
45,ICELL8_SE_A_rsem_umap.csv,569,4,245.3363974094391
45,ICELL8_SE_A_rsem_umap.csv,569,4,159.02589797973633
45,ICELL8_SE_A_rsem_umap.csv,569,4,241.1052405834198
45,ICELL8_SE_A_rsem_umap.csv,569,4,161.00153517723083
45,ICELL8_SE_A_rsem_umap.csv,569,4,167.6353452205658
45,ICELL8_SE_A_rsem_umap.csv,569,5,246.5558123588562
45,ICELL8_SE_A_rsem_umap.csv,569,5,189.17123103141785
45,ICELL8_SE_A_rsem_umap.csv,569,4,226.25652647018435
45,ICELL8_SE_A_rsem_umap.csv,569,5,256.4643268585205
45,ICELL8_SE_A_rsem_umap.csv,569,4,170.94161558151245
45,ICELL8_SE_A_rsem_umap.csv,569,4,256.50904178619385
45,ICELL8_SE_A_rsem_umap.csv,569,5,279.10975790023804
45,ICELL8_SE_A_rsem_umap.csv,569,5,254.7819576263428
45,ICELL8_SE_A_rsem_umap.csv,569,5,278.61413526535034
45,ICELL8_SE_A_rsem_umap.csv,569,5,228.7033064365387
45,ICELL8_SE_A_rsem_umap.csv,569,5,268.2083008289337
45,ICELL8_SE_A_rsem_umap.csv,569,5,231.4714117050171
45,ICELL8_SE_A_rsem_umap.csv,569,5,261.42287588119507
45,ICELL8_SE_A_rsem_umap.csv,569,4,204.2692139148712
45,ICELL8_SE_A_rsem_umap.csv,569,5,259.8183295726776
45,ICELL8_SE_A_rsem_umap.csv,569,4,160.2601363658905
45,ICELL8_SE_A_rsem_umap.csv,569,5,214.2087950706482
45,ICELL8_SE_A_rsem_umap.csv,569,5,259.32973313331604
45,ICELL8_SE_A_rsem_umap.csv,569,4,238.68546438217163
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,247.0793890953064
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,201.96728134155276
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,229.3136646747589
39,ICELL8_PE_A_kallisto_umap.csv,570,5,277.42256021499634
39,ICELL8_PE_A_kallisto_umap.csv,570,4,186.7453463077545
39,ICELL8_PE_A_kallisto_umap.csv,570,4,253.98661875724792
39,ICELL8_PE_A_kallisto_umap.csv,570,4,243.0887610912323
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,247.60955238342285
39,ICELL8_PE_A_kallisto_umap.csv,570,5,291.65137934684753
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,214.7191708087921
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,171.60512733459473
39,ICELL8_PE_A_kallisto_umap.csv,570,4,166.66551685333252
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,178.136390209198
39,ICELL8_PE_A_kallisto_umap.csv,570,5,247.23723673820496
39,ICELL8_PE_A_kallisto_umap.csv,570,5,266.64038348197937
39,ICELL8_PE_A_kallisto_umap.csv,570,5,262.6886534690857
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,222.667138338089
39,ICELL8_PE_A_kallisto_umap.csv,570,4,204.4370608329773
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,237.6660482883453
39,ICELL8_PE_A_kallisto_umap.csv,570,5,260.06665325164795
39,ICELL8_PE_A_kallisto_umap.csv,570,4,165.8614957332611
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,228.231858253479
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,244.99996948242188
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,204.42600679397583
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,214.4262380599976
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,177.17881202697754
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,257.30686211586
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,160.97034692764282
39,ICELL8_PE_A_kallisto_umap.csv,570,5,230.3991549015045
39,ICELL8_PE_A_kallisto_umap.csv,570,5,277.90718126297
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,160.27788138389587
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,221.96269845962524
39,ICELL8_PE_A_kallisto_umap.csv,570,5,267.76721382141113
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,222.4832923412323
39,ICELL8_PE_A_kallisto_umap.csv,570,4,158.5755500793457
39,ICELL8_PE_A_kallisto_umap.csv,570,5,193.4294445514679
39,ICELL8_PE_A_kallisto_umap.csv,570,5,228.30654454231265
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,166.94252109527588
39,ICELL8_PE_A_kallisto_umap.csv,570,4,166.65110301971436
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,231.35209012031555
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,240.587907075882
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,183.35889554023743
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,167.8580675125122
39,ICELL8_PE_A_kallisto_umap.csv,570,5,275.2547948360443
39,ICELL8_PE_A_kallisto_umap.csv,570,5,244.0328848361969
39,ICELL8_PE_A_kallisto_umap.csv,570,4,239.52892899513245
39,ICELL8_PE_A_kallisto_umap.csv,570,4,159.02937483787537
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,249.39461636543277
39,ICELL8_PE_A_kallisto_umap.csv,570,4,156.7897891998291
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,227.1688425540924
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,159.17245030403137
39,ICELL8_PE_A_kallisto_umap.csv,570,5,183.59983658790588
39,ICELL8_PE_A_kallisto_umap.csv,570,5,259.88358092308044
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,241.18575358390808
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,198.73090648651123
39,ICELL8_PE_A_kallisto_umap.csv,570,4,243.49103903770447
39,ICELL8_PE_A_kallisto_umap.csv,570,5,280.7698781490326
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,189.02550554275516
39,ICELL8_PE_A_kallisto_umap.csv,570,4,223.87792205810547
39,ICELL8_PE_A_kallisto_umap.csv,570,5,284.12533617019653
0,ICELL8_SE_A_kallisto_umap.csv,571,4,158.1203095912933
0,ICELL8_SE_A_kallisto_umap.csv,571,4,202.1568758487701
0,ICELL8_SE_A_kallisto_umap.csv,571,4,168.94830179214478
0,ICELL8_SE_A_kallisto_umap.csv,571,4,171.50021982192993
0,ICELL8_SE_A_kallisto_umap.csv,571,4,157.3552520275116
0,ICELL8_SE_A_kallisto_umap.csv,571,4,172.16036558151245
0,ICELL8_SE_A_kallisto_umap.csv,571,4,168.86001229286194
0,ICELL8_SE_A_kallisto_umap.csv,571,4,158.5991756916046
0,ICELL8_SE_A_kallisto_umap.csv,571,4,158.38253211975098
0,ICELL8_SE_A_kallisto_umap.csv,571,4,165.30583429336548
0,ICELL8_SE_A_kallisto_umap.csv,571,4,158.8435502052307
0,ICELL8_SE_A_kallisto_umap.csv,571,4,168.5755786895752
0,ICELL8_SE_A_kallisto_umap.csv,571,4,169.91019082069397
0,ICELL8_SE_A_kallisto_umap.csv,571,4,158.06133580207825
0,ICELL8_SE_A_kallisto_umap.csv,571,4,224.8166332244873
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.46439838409424
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.51194500923157
0,ICELL8_SE_A_kallisto_umap.csv,571,4,165.73613739013672
0,ICELL8_SE_A_kallisto_umap.csv,571,4,152.43144965171814
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.13536763191223
0,ICELL8_SE_A_kallisto_umap.csv,571,4,190.65034580230716
0,ICELL8_SE_A_kallisto_umap.csv,571,5,185.57656168937683
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.7996220588684
0,ICELL8_SE_A_kallisto_umap.csv,571,4,166.5955147743225
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.168967962265
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.23015356063843
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.63328886032104
0,ICELL8_SE_A_kallisto_umap.csv,571,4,164.91317200660706
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.79907035827637
0,ICELL8_SE_A_kallisto_umap.csv,571,4,160.89632487297058
8,10X_LLU_B_umitools_umap.csv,1184,6,410.9228391647339
8,10X_LLU_B_umitools_umap.csv,1184,6,411.524320602417
8,10X_LLU_B_umitools_umap.csv,1184,6,410.3701465129852
8,10X_LLU_B_umitools_umap.csv,1184,5,344.762286901474
8,10X_LLU_B_umitools_umap.csv,1184,6,413.9886066913605
8,10X_LLU_B_umitools_umap.csv,1184,5,342.668732881546
8,10X_LLU_B_umitools_umap.csv,1184,6,412.9610643386841
8,10X_LLU_B_umitools_umap.csv,1184,5,368.1304285526276
8,10X_LLU_B_umitools_umap.csv,1184,5,485.9403822422028
8,10X_LLU_B_umitools_umap.csv,1184,6,412.6083500385285
8,10X_LLU_B_umitools_umap.csv,1184,6,414.7769591808319
8,10X_LLU_B_umitools_umap.csv,1184,5,363.37320351600647
8,10X_LLU_B_umitools_umap.csv,1184,5,359.9017767906189
8,10X_LLU_B_umitools_umap.csv,1184,5,363.4413318634033
8,10X_LLU_B_umitools_umap.csv,1184,5,416.7576684951782
8,10X_LLU_B_umitools_umap.csv,1184,5,368.7776095867157
8,10X_LLU_B_umitools_umap.csv,1184,5,342.2158205509186
8,10X_LLU_B_umitools_umap.csv,1184,6,383.2368905544281
8,10X_LLU_B_umitools_umap.csv,1184,6,413.5211882591248
8,10X_LLU_B_umitools_umap.csv,1184,5,366.4495859146118
8,10X_LLU_B_umitools_umap.csv,1184,6,396.7868647575378
8,10X_LLU_B_umitools_umap.csv,1184,5,362.2699148654938
8,10X_LLU_B_umitools_umap.csv,1184,5,337.3332965373993
8,10X_LLU_B_umitools_umap.csv,1184,6,490.47750639915466
8,10X_LLU_B_umitools_umap.csv,1184,6,415.14704155921936
8,10X_LLU_B_umitools_umap.csv,1184,6,411.2069745063782
8,10X_LLU_B_umitools_umap.csv,1184,6,408.7575340270996
8,10X_LLU_B_umitools_umap.csv,1184,6,382.32382249832153
8,10X_LLU_B_umitools_umap.csv,1184,6,369.2068672180176
8,10X_LLU_B_umitools_umap.csv,1184,6,381.747620344162
9,10X_LLU_B_zumi_umap.csv,1207,6,372.3423881530762
9,10X_LLU_B_zumi_umap.csv,1207,5,363.2131667137146
9,10X_LLU_B_zumi_umap.csv,1207,5,371.1716992855072
9,10X_LLU_B_zumi_umap.csv,1207,5,411.3073847293854
9,10X_LLU_B_zumi_umap.csv,1207,6,419.31496357917786
9,10X_LLU_B_zumi_umap.csv,1207,6,391.66864681243896
9,10X_LLU_B_zumi_umap.csv,1207,6,392.0790982246399
9,10X_LLU_B_zumi_umap.csv,1207,5,370.2784075737
9,10X_LLU_B_zumi_umap.csv,1207,5,492.5858223438263
9,10X_LLU_B_zumi_umap.csv,1207,6,419.13489818573
9,10X_LLU_B_zumi_umap.csv,1207,5,348.13951301574707
9,10X_LLU_B_zumi_umap.csv,1207,6,495.51689195632935
9,10X_LLU_B_zumi_umap.csv,1207,5,371.5465950965881
9,10X_LLU_B_zumi_umap.csv,1207,6,419.6323716640472
9,10X_LLU_B_zumi_umap.csv,1207,6,419.17443323135376
9,10X_LLU_B_zumi_umap.csv,1207,5,349.37175035476685
9,10X_LLU_B_zumi_umap.csv,1207,6,420.3920440673828
9,10X_LLU_B_zumi_umap.csv,1207,5,343.7351264953613
9,10X_LLU_B_zumi_umap.csv,1207,5,351.46019434928894
9,10X_LLU_B_zumi_umap.csv,1207,6,417.15514159202576
9,10X_LLU_B_zumi_umap.csv,1207,5,366.54882192611694
9,10X_LLU_B_zumi_umap.csv,1207,6,418.10782837867737
9,10X_LLU_B_zumi_umap.csv,1207,6,418.5187349319458
9,10X_LLU_B_zumi_umap.csv,1207,6,421.2565085887909
9,10X_LLU_B_zumi_umap.csv,1207,6,401.0251140594482
9,10X_LLU_B_zumi_umap.csv,1207,6,420.4936192035675
9,10X_LLU_B_zumi_umap.csv,1207,5,368.5482020378113
9,10X_LLU_B_zumi_umap.csv,1207,5,375.1386799812317
9,10X_LLU_B_zumi_umap.csv,1207,6,424.5730750560761
9,10X_LLU_B_zumi_umap.csv,1207,6,392.0710237026215
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,389.8023035526276
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,424.42124915122986
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,419.34066224098206
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,347.86876344680786
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,422.6387767791748
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,420.7377388477325
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,497.9300704002381
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,392.9458706378937
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,421.7809865474701
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,420.25243639945984
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,399.5494956970215
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,374.9498300552368
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,393.6218807697296
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,372.8021984100342
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,422.8745119571686
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,558.0514750480652
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,397.7644946575165
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,423.49663615226746
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,421.96456933021545
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,419.0778329372406
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,346.2685875892639
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,365.6185111999512
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,417.10365629196167
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,420.6972539424896
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,470.1317868232727
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,391.9653258323669
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,419.4153003692627
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,372.088889837265
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,370.5754396915436
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,421.28195786476135
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,401.016499042511
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,425.39735221862793
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,455.9209311008453
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,425.7775845527649
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,425.799720287323
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,395.4749784469605
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,403.4035973548889
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,454.5164546966553
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,405.8603858947754
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,478.6397898197174
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,457.6078295707703
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,458.7451977729797
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,427.2902388572693
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,455.6223425865173
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,607.8156960010529
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,511.2245969772339
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,405.6964259147644
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,457.4364280700684
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,398.6153697967529
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,456.65892124176025
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,430.3576753139496
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,453.5908739566803
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,457.3831157684326
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,425.6208827495575
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,403.1870617866516
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,376.3639218807221
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,455.0924847126007
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,454.999844789505
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,438.82910442352295
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,406.37341356277466
4,10X_LLU_A_umitools_umap.csv,2476,7,1213.8951580524445
4,10X_LLU_A_umitools_umap.csv,2476,7,887.3893702030182
4,10X_LLU_A_umitools_umap.csv,2476,7,847.3344745635986
4,10X_LLU_A_umitools_umap.csv,2476,7,904.8046803474426
4,10X_LLU_A_umitools_umap.csv,2476,7,854.125189781189
4,10X_LLU_A_umitools_umap.csv,2476,7,907.3405406475068
4,10X_LLU_A_umitools_umap.csv,2476,7,909.600970506668
4,10X_LLU_A_umitools_umap.csv,2476,7,905.8529884815216
4,10X_LLU_A_umitools_umap.csv,2476,7,916.0805206298828
4,10X_LLU_A_umitools_umap.csv,2476,7,807.0478384494781
