,Unnamed: 0,Instance #,Cluster #,mo-time
0,0.0,571.0,4.033333333333333,56.861600788434345
1,1.0,553.0,4.866666666666666,56.51952261924744
2,2.0,2505.0,6.866666666666666,94.32096025943756
3,3.0,2825.0,7.0,100.01793347994486
4,4.0,2476.0,7.166666666666667,94.84190572102865
5,5.0,2825.0,7.1,101.14907344977061
6,6.0,1211.0,5.733333333333333,68.55596373081207
7,7.0,1327.0,5.8,71.08943435351054
8,8.0,1184.0,5.6,68.44224503835042
9,9.0,1207.0,5.633333333333334,68.62625401814779
10,10.0,5355.0,8.8,164.78655092716218
11,11.0,6050.0,9.833333333333334,191.98211301962536
12,12.0,5344.0,8.933333333333334,165.7289566040039
13,13.0,5385.0,8.9,167.43217453956603
14,14.0,2585.0,7.0,96.10309295654297
15,15.0,3059.0,7.733333333333333,108.42244679133097
16,16.0,2630.0,7.4,98.8193795522054
17,17.0,2836.0,7.166666666666667,102.6629103978475
18,18.0,5354.0,8.433333333333334,160.63959640661875
19,19.0,6097.0,9.366666666666667,188.04245202541352
20,20.0,5339.0,9.0,167.03494982719423
21,21.0,5416.0,8.9,167.5440867980321
22,22.0,2589.0,6.966666666666667,96.54263737996419
23,23.0,3046.0,7.866666666666666,108.91791944503784
24,24.0,2628.0,6.966666666666667,97.53075817426046
25,25.0,2805.0,7.2,101.32689131100973
26,26.0,197.0,3.0,49.67850385506948
27,27.0,195.0,3.033333333333333,52.66652273337046
28,28.0,197.0,3.0,52.05036293665568
29,29.0,231.0,3.6,52.14705684185028
30,30.0,224.0,3.6,52.504643162091575
31,31.0,231.0,3.6,52.55043852329254
32,32.0,70.0,3.0,52.92475086053212
33,33.0,72.0,3.0,51.06313366095225
34,34.0,71.0,3.0,52.171759843826294
35,35.0,59.0,3.0,51.91969900925954
36,36.0,60.0,3.0,52.814735635121664
37,37.0,60.0,3.0,49.19507757027944
38,38.0,568.0,4.6,56.02217819690704
39,39.0,570.0,4.6,56.15101947784424
40,40.0,563.0,4.6,56.62389606634776
41,41.0,547.0,4.0,56.30009489059448
42,42.0,551.0,4.3,56.33510393301646
43,43.0,548.0,4.233333333333333,56.556918009122214
44,44.0,570.0,4.0,56.32769190470378
45,45.0,569.0,4.6,56.57410051822662
46,46.0,550.0,4.066666666666666,56.28839391072591
47,47.0,549.0,4.8,56.59593019485474
