,Algorithms,Baseline entropy,Entropy after clustering,Sil,NMI,ARI
0,PhenoGraph,89.03059972188093,-220.1038218645148,0.30504765025436675,0.09523825930611332,0.010302303275579171
1,MOGA-3,89.03059972188093,-183.24881046802042,0.3159757495933308,0.09286446640311873,0.011134956251284368
2,MOGA-2,89.03059972188093,-189.35420669482357,0.2946612256787278,0.09335292578978996,0.011515984469518965
3,Kmeans,89.03059972188093,-199.78037876544326,0.3668501907840799,0.09433830645657112,0.009389318230194349
