,Benchmark,Instance #,Cluster #,mo-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,57.02092909812927
1,ICELL8_SE_B_kallisto_umap.csv,553,5,57.28779053688049
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,96.41255044937134
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,104.47868490219116
4,10X_LLU_A_umitools_umap.csv,2476,7,98.11257123947144
5,10X_LLU_A_zumi_umap.csv,2825,8,112.26762557029724
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,69.53535866737366
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,72.34053349494934
8,10X_LLU_B_umitools_umap.csv,1184,6,69.94854426383972
9,10X_LLU_B_zumi_umap.csv,1207,6,69.85360145568848
10,10X_NCI_A_cellranger2.0_umap.csv,5355,9,171.53663229942322
11,10X_NCI_A_cellranger3.1_umap.csv,6050,9,193.06840419769287
12,10X_NCI_A_umitools_umap.csv,5344,9,175.45706486701965
13,10X_NCI_A_zumi_umap.csv,5385,9,176.74538564682007
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,97.85552549362183
15,10X_NCI_B_cellranger3.1_umap.csv,3059,8,111.48073267936707
16,10X_NCI_B_umitools_umap.csv,2630,8,105.25203204154968
17,10X_NCI_B_zumi_umap.csv,2836,7,106.9124801158905
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,9,175.10293078422546
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,10,203.19012904167175
20,10X_NCI_M_A_umitools_umap.csv,5339,9,175.17095732688904
21,10X_NCI_M_A_zumi_umap.csv,5416,9,174.5665831565857
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,98.62577867507935
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,112.34821438789368
24,10X_NCI_M_B_umitools_umap.csv,2628,7,100.8062424659729
25,10X_NCI_M_B_zumi_umap.csv,2805,7,104.61301326751709
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,52.46896982192993
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,54.604745626449585
28,C1_FDA_HT_A_rsem_umap.csv,197,3,49.06270623207092
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,52.48919200897217
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,52.11729860305786
31,C1_FDA_HT_B_rsem_umap.csv,231,4,52.72571587562561
32,C1_LLU_A_featureCounts_umap.csv,70,3,52.82792115211487
33,C1_LLU_A_kallisto_umap.csv,72,3,49.32120943069458
34,C1_LLU_A_rsem_umap.csv,71,3,53.035271883010864
35,C1_LLU_B_featureCounts_umap.csv,59,3,51.7225661277771
36,C1_LLU_B_kallisto_umap.csv,60,3,54.815425872802734
37,C1_LLU_B_rsem_umap.csv,60,3,49.33126950263977
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,57.54034233093262
39,ICELL8_PE_A_kallisto_umap.csv,570,5,56.66056776046753
40,ICELL8_PE_A_rsem_umap.csv,563,5,55.01625990867615
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,54.211684465408325
42,ICELL8_PE_B_kallisto_umap.csv,551,5,56.786404609680176
43,ICELL8_PE_B_rsem_umap.csv,548,5,57.59677577018738
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,58.05147075653076
45,ICELL8_SE_A_rsem_umap.csv,569,5,57.156195640563965
46,ICELL8_SE_B_featureCounts_umap.csv,550,5,58.832239389419556
47,ICELL8_SE_B_rsem_umap.csv,549,5,57.076087474823
