,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.36,0.37,0.13
1,colorMoments,68040,2,8,0.36,0.36,0.24
2,colorTexture,68040,2,8,0.38,0.38,0.27
3,house16H,22784,2,7,0.43,0.43,0.27
4,layoutHistogram,66614,2,9,0.41,0.41,0.22
5,StockPrice,950,2,4,0.6,0.61,0.65
6,Pollution,60,2,3,0.45,0.45,0.44
