,Instance #,Cluster #,mo-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,CPUs
0,234159,34,15099.619,13113.024,0.447,0.207,0.446,0.425,0.203,0.432,0.449,0.207,0.442,0.343,0.136,0.459,32
1,234159,7,4100.665,3394.167,0.553,0.113,0.248,0.555,0.109,0.243,0.556,0.111,0.246,0.335,0.026,0.299,32
2,234159,2,1949.007,1489.368,0.409,0.002,0.001,0.414,-0.000,0.000,0.414,-0.000,0.000,0.341,0.004,0.066,32
3,234159,3,2365.373,1854.780,0.448,0.282,0.345,0.462,0.320,0.361,0.463,0.322,0.367,0.341,0.021,0.228,32
0,234159,2,1942.960,1483.232,0.407,0.453,0.360,0.414,0.402,0.326,0.414,0.403,0.328,0.333,0.016,0.178,32
