,Unnamed: 0,Instance #,Cluster #,mo-time
0,0.0,571.0,4.0,54.1340518079955
1,1.0,553.0,4.9655172413793105,53.98808314882476
2,2.0,2505.0,6.862068965517241,88.71704270099771
3,3.0,2825.0,7.137931034482759,95.26504267495254
4,4.0,2476.0,7.206896551724138,89.1850899745678
5,5.0,2825.0,7.172413793103448,95.88571319086799
6,6.0,1211.0,5.724137931034483,65.10352478356197
7,7.0,1327.0,5.827586206896552,67.01308297288828
8,8.0,1184.0,5.689655172413793,64.31952213418894
9,9.0,1207.0,5.620689655172414,65.24556639276702
10,10.0,5355.0,8.862068965517242,155.96088875573258
11,11.0,6050.0,9.89655172413793,183.2411487760215
12,12.0,5344.0,8.931034482758621,157.53811947230636
13,13.0,5385.0,8.758620689655173,157.6436888267254
14,14.0,2585.0,6.931034482758621,90.94528166178999
15,15.0,3059.0,7.931034482758621,103.23566931691663
16,16.0,2630.0,7.310344827586207,92.90055834835974
17,17.0,2836.0,7.206896551724138,96.75919629787576
18,18.0,5354.0,8.517241379310345,153.017569985883
19,19.0,6097.0,9.206896551724139,176.92594187013034
20,20.0,5339.0,9.03448275862069,158.45979234267926
21,21.0,5416.0,8.758620689655173,157.34955989081283
22,22.0,2589.0,7.0,90.96908786379058
23,23.0,3046.0,7.931034482758621,102.90008854043894
24,24.0,2628.0,7.0,92.17808956935488
25,25.0,2805.0,7.310344827586207,96.37066265632366
26,26.0,197.0,3.0,46.892023925123546
27,27.0,195.0,3.0344827586206895,49.87755700637554
28,28.0,197.0,3.0,49.416751392956435
29,29.0,231.0,3.689655172413793,50.20627683606641
30,30.0,224.0,3.689655172413793,50.12771026019392
31,31.0,231.0,3.689655172413793,50.1896918970963
32,32.0,70.0,3.0,49.791759589622764
33,33.0,72.0,3.0,48.11135716273867
34,34.0,71.0,3.0,49.00675668387577
35,35.0,59.0,3.0,48.030120117910975
36,36.0,60.0,3.0,49.22113273883688
37,37.0,60.0,3.0,46.248091072871766
38,38.0,568.0,4.689655172413793,53.900410084888854
39,39.0,570.0,4.689655172413793,53.69241106921229
40,40.0,563.0,4.758620689655173,54.046015517465
41,41.0,547.0,4.0,53.50718121693052
42,42.0,551.0,4.517241379310345,53.89975519838004
43,43.0,548.0,4.103448275862069,53.66413787315632
44,44.0,570.0,4.0,53.836695334007
45,45.0,569.0,4.655172413793103,53.97755253726039
46,46.0,550.0,4.0344827586206895,53.571068706183596
47,47.0,549.0,4.689655172413793,53.907412890730235
