,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.34,0.35,0.07
1,colorMoments,68040,2,8,0.35,0.35,0.21
2,colorTexture,68040,2,8,0.34,0.38,0.26
3,house16H,22784,2,7,0.42,0.42,0.22
4,layoutHistogram,66614,2,8,0.39,0.39,0.14
5,StockPrice,950,2,4,0.60,0.61,0.59
6,Pollution,60,2,3,0.41,0.41,0.38
