,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.35,0.36,-0.02
1,colorMoments,68040,2,8,0.35,0.36,0.22
2,colorTexture,68040,2,9,0.37,0.37,0.27
3,house16H,22784,2,7,0.40,0.40,0.20
4,layoutHistogram,66614,2,9,0.39,0.39,0.22
5,StockPrice,950,2,4,0.47,0.49,0.62
6,Pollution,60,2,3,0.43,0.43,0.42
