,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.34,0.35,0.09
1,colorMoments,68040,2,9,0.35,0.35,0.22
2,colorTexture,68040,2,9,0.38,0.37,0.26
3,house16H,22784,2,8,0.42,0.42,0.25
4,layoutHistogram,66614,2,9,0.39,0.39,0.15
5,StockPrice,950,2,4,0.53,0.52,0.61
6,Pollution,60,2,3,0.42,0.41,0.42
