,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.36,0.36,0.02
1,colorMoments,68040,2,8,0.34,0.35,0.21
2,colorTexture,68040,2,8,0.38,0.38,0.26
3,house16H,22784,2,7,0.42,0.42,0.27
4,layoutHistogram,66614,2,8,0.39,0.39,0.15
5,StockPrice,950,2,4,0.50,0.51,0.60
6,Pollution,60,2,3,0.44,0.44,0.42
