,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.35,0.35,0.13
1,colorMoments,68040,2,8,0.35,0.35,0.24
2,colorTexture,68040,2,8,0.34,0.38,0.27
3,house16H,22784,2,7,0.43,0.43,0.22
4,layoutHistogram,66614,2,8,0.38,0.39,0.19
5,StockPrice,950,2,4,0.57,0.57,0.65
6,Pollution,60,2,3,0.39,0.39,0.39
