,Benchmark,Instance #,Attribute #,Cluster #,ga-sw,k-sw,phg-sw
0,colorHistogram,68040,2,10,0.33,0.35,-0.02
1,colorMoments,68040,2,8,0.35,0.35,0.22
2,colorTexture,68040,2,8,0.38,0.38,0.25
3,house16H,22784,2,7,0.41,0.41,0.24
4,layoutHistogram,66614,2,9,0.37,0.39,0.07
5,StockPrice,950,2,4,0.51,0.51,0.62
6,Pollution,60,2,3,0.45,0.45,0.44
